Candidate Name,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Handeled Team,Years of Experience,AI PotentialCandidate
Candidate1,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate2,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No","	10",FALSE
Candidate3,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate4,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate5,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No",10,FALSE
Candidate6,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate7,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate8,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No","	10",FALSE
Candidate9,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate10,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate11,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No",10,FALSE
Candidate12,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate13,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate14,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No","	10",FALSE
Candidate15,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate16,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate17,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No",10,FALSE
Candidate18,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate19,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate20,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No","	10",FALSE
Candidate21,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate22,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate23,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No",10,FALSE
Candidate24,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate25,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate26,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No","	10",FALSE
Candidate27,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate28,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate29,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No",10,FALSE
Candidate30,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate31,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate32,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No","	10",FALSE
Candidate33,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate34,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate35,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No",10,FALSE
Candidate36,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate37,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate38,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No","	10",FALSE
Candidate39,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate40,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate41,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No",10,FALSE
Candidate42,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
Candidate43,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,Yes,5,TRUE
Candidate44,"	SharePoint","	SPFx",PowerApps,Flows,PowerBI,React,"	No","	10",FALSE
Candidate45,"	SharePoint","	SPFx",PowerApps,Flows,,React,"	Yes",13,TRUE
